SpecCode,Species,Habitat,DNW,SST,SSTrange,Productivity,GBIF,Range,TP,Length,Richness,Anthozoa,Cnidaria_other,Polychaeta,Clitellata,Annelida_other,Polyplacophora,Bivalvia,Gastropoda,Cephalopoda,Mollusca_other,Brachiopoda,Ostracoda,Maxillopoda,Malacostraca,Insecta,Arthropoda_other,Ophiuroidea,Echinoidea,Holothuroidea,Echinodermata_other,Actinopterygii,Chondrichthyes,Amphibia,Reptilia,Aves,Mammalia,Chordata_other,Animalia_other,Plantae
21,Benthosema glaciale,pelagic-oceanic,-0.49,-1.37,0.60,-0.59,1.45,1.25,-0.79,-1.13,-1.30,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Callionymus reticulatus,demersal,-0.70,-1.60,1.38,1.35,0.32,-0.46,-0.30,-1.07,-1.23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
23,Callionymus lyra,demersal,-0.70,-0.92,0.89,1.00,1.66,-1.67,-0.31,-0.07,-0.53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
26,Glyptocephalus cynoglossus,demersal,2.96,-1.93,1.63,0.51,2.62,0.37,-0.01,0.62,-1.43,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1
27,Lepidorhombus boscii,demersal,1.02,-0.79,1.18,-0.33,-0.05,-0.28,0.18,0.22,-0.66,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0
28,Lepidorhombus whiffiagonis,bathydemersal,2.53,-1.50,0.58,0.18,-0.21,-0.51,0.10,0.62,-0.90,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1
29,Merlangius merlangus,benthopelagic,4.47,-1.64,1.54,1.15,2.12,-0.08,0.20,0.78,-1.28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
30,Merluccius merluccius,demersal,1.88,-1.38,0.84,0.32,0.88,0.15,1.45,1.47,-0.94,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1
31,Micromesistius poutassou,bathypelagic,1.67,-1.28,0.60,-0.54,0.34,1.01,0.42,0.44,-1.23,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0
32,Microchirus variegatus,demersal,0.81,-0.91,1.10,0.13,-0.01,0.07,-0.30,0.09,-0.72,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
34,Pollachius pollachius,benthopelagic,2.10,-1.63,1.39,1.09,1.96,-0.24,0.78,1.39,-1.24,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0
37,Ammodytes marinus,benthopelagic,0.59,-1.73,1.55,0.98,-0.15,-0.22,-1.27,-0.25,-1.33,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
38,Ammodytes tobianus,demersal,1.02,-1.67,1.97,1.64,1.01,-0.20,-0.50,-0.47,-1.36,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0
39,Aphia minuta,pelagic-neritic,0.16,-1.22,1.63,0.77,0.55,0.18,-0.61,-1.40,-0.98,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0
40,Argyropelecus affinis,bathypelagic,-0.49,0.14,-0.20,-1.03,0.99,2.76,-0.62,-1.34,-0.82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
41,Arnoglossus laterna,demersal,1.67,-1.00,1.20,1.03,0.77,0.18,0.06,-0.25,-0.78,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0
42,Arnoglossus imperialis,demersal,0.37,-0.42,0.34,1.43,0.45,-0.25,0.66,-0.25,-0.42,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0
44,Chelidonichthys cuculus,demersal,2.10,-1.20,1.19,0.56,0.36,0.24,0.25,0.44,-0.92,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0
46,Melanolagus bericoides,bathypelagic,-1.13,-0.27,0.14,-1.08,0.11,2.58,-0.09,-0.47,-1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,Belone belone,pelagic-oceanic,2.10,-1.10,1.85,0.85,2.13,0.24,1.80,1.06,-0.98,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1
48,Parablennius gattorugine,demersal,0.16,-0.98,1.38,0.46,1.38,-0.24,-1.26,-0.07,-0.78,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1
49,Blennius ocellaris,demersal,0.16,-0.73,1.53,-0.17,0.00,-0.09,0.06,-0.47,-0.74,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
53,Buglossidium luteum,demersal,1.02,-1.43,1.96,1.17,0.41,0.15,-0.25,-0.76,-1.27,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
54,Capros aper,demersal,0.37,-1.01,0.81,-0.01,0.80,-0.06,-0.43,-0.07,-0.70,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
56,Cepola macrophthalma,demersal,0.37,-0.75,1.29,-0.10,0.63,0.07,-0.55,0.91,-0.71,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0
57,Chirolophis ascanii,benthopelagic,-0.27,-1.73,1.39,0.98,0.03,-0.21,-0.38,-0.25,-1.34,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
58,Coris julis,reef-associated,0.81,-0.28,1.17,-0.03,1.16,0.00,-0.37,-0.07,-0.58,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
59,Symphodus melops,reef-associated,2.32,-1.50,1.56,1.46,1.80,-0.24,-0.23,-0.14,-1.14,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1
60,Crystallogobius linearis,demersal,-0.49,-1.40,1.22,0.56,-0.61,0.19,-0.09,-1.92,-1.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
61,Ctenolabrus rupestris,reef-associated,1.67,-1.53,1.63,1.51,2.11,-0.33,0.08,-0.58,-1.19,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0
62,Cyclopterus lumpus,benthopelagic,1.88,-2.05,2.20,0.80,1.87,0.28,0.32,0.64,-1.63,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1
64,Diplecogaster bimaculata,demersal,1.67,-1.58,1.12,1.30,-0.01,-0.68,-0.35,-1.67,-1.14,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0
65,Echiodon drummondii,bathydemersal,-0.70,-1.68,0.50,0.14,-0.76,-0.52,0.99,-0.07,-1.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
67,Entelurus aequoreus,demersal,-0.70,-1.60,1.27,0.94,0.62,-0.15,0.15,0.22,-1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
68,Eutrigla gurnardus,demersal,2.96,-1.56,1.22,0.84,0.97,0.07,1.57,0.62,-1.15,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1
69,Gadus morhua,benthopelagic,4.47,-2.07,1.98,0.65,3.19,0.36,1.44,1.82,-1.66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
72,Gobius niger,demersal,1.67,-1.21,2.00,0.89,1.60,0.26,-0.16,-0.58,-1.10,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
73,Gobius paganellus,demersal,1.24,-0.90,1.36,0.50,0.63,-0.05,-0.26,-0.90,-0.76,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0
74,Gobiusculus flavescens,demersal,1.02,-1.66,1.70,1.60,1.36,-0.48,-0.47,-1.67,-1.27,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
75,Gymnammodytes semisquamatus,demersal,-1.13,-1.61,1.58,1.41,-0.91,-0.43,-1.33,-0.07,-1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
76,Helicolenus dactylopterus,bathydemersal,2.53,-0.34,0.24,0.36,1.89,0.71,0.59,0.38,-0.17,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0
77,Istiophorus platypterus,pelagic-oceanic,1.45,0.51,-0.49,-1.04,1.05,2.26,1.80,2.37,-0.67,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0
78,Istiophorus albicans,pelagic-oceanic,0.16,0.44,-0.15,-0.26,0.34,0.78,1.66,2.28,-0.65,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
81,Aphareus furca,reef-associated,-0.49,0.72,-0.71,-0.50,0.15,0.83,1.18,0.78,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
83,Aphareus rutilans,reef-associated,-0.49,0.71,-0.73,-0.54,-0.38,0.82,1.13,1.23,0.89,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
84,Aprion virescens,reef-associated,0.81,0.67,-0.59,-0.52,0.64,0.76,0.90,1.24,0.91,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
85,Apsilus dentatus,reef-associated,-0.49,0.68,-0.92,-0.89,-1.07,-0.47,1.08,0.70,0.28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
86,Apsilus fuscus,demersal,-0.06,0.64,-0.46,1.99,0.31,-1.13,0.92,0.85,-0.24,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
87,Etelis carbunculus,benthopelagic,0.16,0.68,-0.64,-0.79,-0.11,0.68,0.92,1.37,0.85,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
88,Lamna nasus,pelagic-oceanic,1.24,-1.33,0.01,-0.66,0.23,1.93,1.56,2.38,-1.48,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1
90,Cetorhinus maximus,pelagic-oceanic,-0.06,-1.13,0.77,-0.38,1.14,1.97,-0.25,3.32,-1.26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
91,Allothunnus fallai,pelagic-oceanic,1.02,-0.24,-0.05,-1.12,-1.01,1.27,0.54,1.18,-0.94,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0
93,Auxis rochei,pelagic-neritic,-0.06,0.28,0.15,0.24,0.62,1.34,1.40,0.44,0.33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
94,Auxis thazard,pelagic-neritic,0.37,0.49,-0.24,-0.12,1.58,1.15,1.56,0.70,0.56,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
96,Euthynnus affinis,pelagic-neritic,0.81,0.65,-0.43,-0.31,1.13,0.95,1.74,1.13,0.81,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
97,Euthynnus alletteratus,reef-associated,2.10,0.38,-0.17,0.39,0.78,0.27,0.90,1.33,0.02,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1
99,Alepisaurus ferox,bathypelagic,1.67,0.08,-0.21,-1.09,1.44,2.70,1.61,1.89,-0.89,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1
100,Gasterochisma melampus,pelagic-oceanic,0.59,-0.74,0.14,-1.06,-0.83,1.89,1.54,1.62,-1.23,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0
104,Grammatorcynus bilineatus,reef-associated,-0.49,0.77,-0.80,-0.35,-0.67,0.78,1.25,1.13,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
106,Gymnosarda unicolor,reef-associated,-0.49,0.72,-0.72,-0.59,-0.31,0.79,1.80,2.04,0.91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
107,Katsuwonus pelamis,pelagic-oceanic,0.16,0.10,-0.16,-1.05,2.12,2.61,0.99,1.23,-0.82,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
108,Orcynopsis unicolor,pelagic-neritic,-0.70,-0.18,0.97,0.44,0.10,-0.03,1.80,1.39,-0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
109,Rastrelliger brachysoma,pelagic-neritic,-1.13,0.82,-0.95,-0.17,-0.20,0.71,-1.26,0.07,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
110,Rastrelliger faughni,pelagic-neritic,-1.13,0.81,-0.90,-0.13,-1.07,0.36,-0.09,-0.47,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
111,Rastrelliger kanagurta,pelagic-neritic,-0.06,0.73,-0.60,0.00,0.84,0.47,-0.45,0.17,0.94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
112,Sarda australis,pelagic-neritic,-0.70,-0.37,0.36,-0.23,-0.32,-1.51,1.80,1.72,-0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
113,Sarda chiliensis,pelagic-neritic,0.16,-0.47,0.89,3.04,-0.55,-1.24,1.80,1.15,-0.68,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
114,Sarda orientalis,pelagic-neritic,-0.27,0.65,-0.44,0.00,0.71,0.95,1.30,1.15,0.82,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
115,Sarda sarda,pelagic-neritic,0.16,0.03,0.06,0.32,1.20,0.41,1.52,1.04,-0.08,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
116,Scomber australasicus,pelagic-neritic,0.59,-0.09,0.21,-0.39,1.30,0.14,1.08,0.31,0.41,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
117,Scomber japonicus,pelagic-neritic,3.82,0.01,1.07,0.22,2.56,0.42,-0.06,0.69,0.33,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1
118,Scomber scombrus,pelagic-neritic,3.82,-1.45,1.94,1.25,1.91,0.17,0.47,0.62,-1.26,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1
119,Scomberomorus brasiliensis,reef-associated,0.59,0.64,-1.01,-0.06,-0.55,-0.24,1.57,1.35,0.17,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
120,Scomberomorus cavalla,reef-associated,2.10,0.53,-0.16,0.07,0.37,-0.08,1.68,1.74,0.15,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1
121,Scomberomorus commerson,pelagic-neritic,0.59,0.64,-0.47,-0.08,2.21,0.69,1.59,2.00,0.96,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0
126,Scomberomorus maculatus,pelagic-neritic,1.45,0.19,1.60,1.10,0.52,-0.77,1.54,1.04,-0.17,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1
129,Scomberomorus munroi,pelagic-neritic,-0.49,0.62,-0.34,-0.06,0.10,0.01,1.49,1.17,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
130,Argyropelecus aculeatus,bathypelagic,1.67,0.22,-0.22,-1.17,1.22,2.53,0.44,-1.35,-0.90,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
131,Scomberomorus niphonius,pelagic-neritic,-0.70,-0.13,2.15,0.01,-0.84,-0.32,1.80,1.13,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
133,Scomberomorus queenslandicus,pelagic-neritic,-0.06,0.67,-0.39,-0.14,0.86,-0.08,1.61,1.13,0.97,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
134,Scomberomorus regalis,reef-associated,0.37,0.57,-0.38,-0.18,0.20,0.05,1.59,1.73,0.15,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
135,Scomberomorus semifasciatus,pelagic-neritic,-0.70,0.71,-0.44,-0.05,-0.02,-0.02,1.80,1.31,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
136,Scomberomorus sierra,pelagic-neritic,0.16,0.41,0.81,1.02,0.28,-0.75,1.30,1.12,0.12,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
138,Somniosus microcephalus,benthopelagic,2.53,-2.34,0.99,-0.27,-0.21,0.65,1.47,3.11,-1.91,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1
139,Squalus acanthias,benthopelagic,3.39,-1.66,0.94,0.88,2.78,0.67,0.75,1.60,-1.47,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
141,Scomberomorus tritor,pelagic-neritic,-0.70,0.52,0.03,2.15,0.53,-0.87,1.38,1.13,-0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
143,Thunnus albacares,pelagic-oceanic,1.45,0.33,-0.40,-1.11,2.96,2.64,1.76,2.00,-0.74,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1
145,Thunnus maccoyii,pelagic-oceanic,0.16,-1.08,-0.04,-1.06,0.40,2.03,0.82,2.02,-1.42,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
147,Thunnus thynnus,pelagic-oceanic,1.24,-0.58,0.36,-0.63,0.46,1.95,1.30,2.65,-1.06,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0
148,Thunnus tonggol,pelagic-neritic,-0.27,0.66,-0.44,0.02,-0.30,0.96,0.96,1.50,0.74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
152,Lutjanus guttatus,reef-associated,1.02,0.51,0.47,0.86,0.43,-0.90,0.65,0.91,0.19,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0
154,Lutjanus jocu,reef-associated,1.45,0.56,-0.37,-0.19,0.33,0.08,0.80,1.38,0.17,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1
159,Lutjanus lutjanus,bathydemersal,-0.27,0.76,-0.76,-0.01,0.65,0.71,1.02,0.09,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
161,Lutjanus mahogoni,reef-associated,0.37,0.65,-0.69,-0.52,0.42,-0.35,0.90,0.40,0.30,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
162,Lutjanus malabaricus,reef-associated,0.81,0.74,-0.67,-0.10,0.92,0.63,1.09,1.13,0.96,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
167,Callorhinchus capensis,demersal,-0.27,-0.69,-0.06,4.09,1.55,-1.08,-0.01,1.33,-0.83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
170,Lutjanus peru,reef-associated,-0.49,0.54,0.34,0.70,-0.47,-0.97,0.97,1.08,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
175,Elops saurus,reef-associated,1.24,0.63,-0.38,-0.06,2.33,0.25,1.13,1.13,0.67,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1
176,Lutjanus russellii,reef-associated,-0.06,0.73,-0.69,-0.04,0.72,0.83,0.59,0.44,0.91,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
178,Lutjanus sebae,reef-associated,0.59,0.72,-0.62,-0.20,1.04,0.79,0.70,1.28,0.87,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
179,Lutjanus semicinctus,reef-associated,0.37,0.80,-0.99,-0.81,-0.39,0.15,1.02,0.09,1.11,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
181,Lutjanus synagris,reef-associated,2.53,0.54,-0.26,-0.09,1.10,0.10,0.35,0.62,0.14,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1
184,Lutjanus vitta,reef-associated,0.59,0.76,-0.74,-0.21,1.18,0.51,0.49,0.22,1.03,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
186,Macolor macularis,reef-associated,-0.49,0.79,-0.89,-0.58,-0.13,0.58,0.89,0.62,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
188,Ocyurus chrysurus,reef-associated,1.67,0.56,-0.36,-0.37,2.00,0.07,0.73,0.98,0.18,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0
